Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
;;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
0000000;POLSKA;6 730;6 294;5 536;5 827;5 640;5 712;5 444;5 243;5 583;5 437;4 572;3 907;4 195;3 577;3 357;3 202;2 938;3 026;2 831;2 862;2 909;2 491
0200000;DOLNOŒL¥SKIE;466;454;377;393;374;371;364;344;359;363;294;241;259;239;223;242;185;226;219;203;215;165
0201000;Powiat boles³awiecki;-;-;-;-;-;-;-;-;-;-;-;-;10;8;11;11;5;11;11;7;19;10
0202000;Powiat dzier¿oniowski;-;-;-;-;-;-;-;-;-;-;-;-;20;8;5;7;7;9;10;7;7;7
0203000;Powiat g³ogowski;-;-;-;-;-;-;-;-;-;-;-;-;4;7;4;6;0;9;5;5;3;4
0204000;Powiat górowski;-;-;-;-;-;-;-;-;-;-;-;-;2;4;5;1;2;3;5;0;0;3
0205000;Powiat jaworski;-;-;-;-;-;-;-;-;-;-;-;-;3;2;7;4;5;7;8;4;4;0
0206000;Powiat karkonoski;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;7;3;9;5;4;6;1
0207000;Powiat kamiennogórski;-;-;-;-;-;-;-;-;-;-;-;-;3;9;5;9;6;5;2;3;2;2
0208000;Powiat k³odzki;-;-;-;-;-;-;-;-;-;-;-;-;17;9;17;17;10;23;13;18;11;14
0209000;Powiat legnicki;-;-;-;-;-;-;-;-;-;-;-;-;9;7;5;4;5;7;6;6;6;3
0210000;Powiat lubañski;-;-;-;-;-;-;-;-;-;-;-;-;5;1;3;10;4;3;7;2;2;2
0211000;Powiat lubiñski;-;-;-;-;-;-;-;-;-;-;-;-;16;5;11;12;10;8;6;15;11;4
0212000;Powiat lwówecki;-;-;-;-;-;-;-;-;-;-;-;-;3;2;5;3;2;5;4;5;4;2
0213000;Powiat milicki;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;1;1;4;2;3;5;3
0214000;Powiat oleœnicki;-;-;-;-;-;-;-;-;-;-;-;-;16;9;10;15;16;10;7;3;8;10
0215000;Powiat o³awski;-;-;-;-;-;-;-;-;-;-;-;-;9;8;4;5;7;7;4;8;4;7
0216000;Powiat polkowicki;-;-;-;-;-;-;-;-;-;-;-;-;10;9;5;12;6;3;1;6;6;8
0217000;Powiat strzeliñski;-;-;-;-;-;-;-;-;-;-;-;-;8;4;4;6;4;2;4;3;5;5
0218000;Powiat œredzki;-;-;-;-;-;-;-;-;-;-;-;-;7;13;7;10;7;10;11;14;8;7
0219000;Powiat œwidnicki;-;-;-;-;-;-;-;-;-;-;-;-;14;18;14;13;11;14;24;11;11;12
0220000;Powiat trzebnicki;-;-;-;-;-;-;-;-;-;-;-;-;11;12;14;11;15;12;12;11;2;6
0221000;Powiat wa³brzyski;-;-;-;-;-;-;-;-;-;-;-;-;5;8;2;5;5;2;1;1;3;1
0222000;Powiat wo³owski;-;-;-;-;-;-;-;-;-;-;-;-;8;4;5;7;2;3;2;5;9;2
0223000;Powiat wroc³awski;-;-;-;-;-;-;-;-;-;-;-;-;22;16;22;18;14;15;10;17;26;16
0224000;Powiat z¹bkowicki;-;-;-;-;-;-;-;-;-;-;-;-;9;18;7;6;2;6;6;4;5;4
0225000;Powiat zgorzelecki;-;-;-;-;-;-;-;-;-;-;-;-;7;7;7;8;15;4;14;11;14;14
0226000;Powiat z³otoryjski;-;-;-;-;-;-;-;-;-;-;-;-;3;5;3;2;2;5;5;1;6;1
0261000;Powiat m.Jelenia Góra;-;-;-;-;-;-;-;-;-;-;-;-;4;4;7;2;2;8;2;5;4;0
0262000;Powiat m.Legnica;-;-;-;-;-;-;-;-;-;-;-;-;0;2;4;2;6;0;2;0;5;2
0264000;Powiat m.Wroc³aw;-;-;-;-;-;-;-;-;-;-;-;-;32;35;23;24;9;19;26;21;16;14
0265000;Powiat m.Wa³brzych od 2013;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;2;3;4;3;3;1
0400000;KUJAWSKO-POMORSKIE;344;321;311;320;290;299;325;347;364;311;231;228;233;222;179;179;153;178;151;171;211;134
0401000;Powiat aleksandrowski;-;-;-;-;-;-;-;-;-;-;-;-;13;9;10;4;4;6;0;13;2;3
0402000;Powiat brodnicki;-;-;-;-;-;-;-;-;-;-;-;-;6;7;14;12;6;6;10;9;9;7
0403000;Powiat bydgoski;-;-;-;-;-;-;-;-;-;-;-;-;19;18;15;11;15;10;15;11;19;6
0404000;Powiat che³miñski;-;-;-;-;-;-;-;-;-;-;-;-;7;6;2;13;6;6;3;7;7;3
0405000;Powiat golubsko-dobrzyñski;-;-;-;-;-;-;-;-;-;-;-;-;3;7;9;0;2;8;5;3;10;4
0406000;Powiat grudzi¹dzki;-;-;-;-;-;-;-;-;-;-;-;-;5;6;4;5;13;11;3;5;7;0
0407000;Powiat inowroc³awski;-;-;-;-;-;-;-;-;-;-;-;-;17;25;7;12;9;10;9;15;14;10
0408000;Powiat lipnowski;-;-;-;-;-;-;-;-;-;-;-;-;16;8;7;6;3;12;9;11;11;6
0409000;Powiat mogileñski;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;12;4;3;1;5;19;6
0410000;Powiat nakielski;-;-;-;-;-;-;-;-;-;-;-;-;18;7;12;8;5;15;10;9;7;12
0411000;Powiat radziejowski;-;-;-;-;-;-;-;-;-;-;-;-;6;7;4;6;2;5;9;5;5;2
0412000;Powiat rypiñski;-;-;-;-;-;-;-;-;-;-;-;-;7;3;5;4;2;0;2;0;8;5
0413000;Powiat sêpoleñski;-;-;-;-;-;-;-;-;-;-;-;-;5;3;3;4;7;1;4;4;3;2
0414000;Powiat œwiecki;-;-;-;-;-;-;-;-;-;-;-;-;19;9;18;8;10;16;11;17;19;12
0415000;Powiat toruñski;-;-;-;-;-;-;-;-;-;-;-;-;27;30;10;17;14;12;15;12;18;15
0416000;Powiat tucholski;-;-;-;-;-;-;-;-;-;-;-;-;6;13;3;8;6;4;2;0;6;1
0417000;Powiat w¹brzeski;-;-;-;-;-;-;-;-;-;-;-;-;3;3;6;2;5;2;2;2;0;1
0418000;Powiat w³oc³awski;-;-;-;-;-;-;-;-;-;-;-;-;20;23;14;13;17;15;12;15;19;9
0419000;Powiat ¿niñski;-;-;-;-;-;-;-;-;-;-;-;-;6;10;7;10;7;6;4;3;7;5
0461000;Powiat m.Bydgoszcz;-;-;-;-;-;-;-;-;-;-;-;-;12;9;13;6;9;11;16;8;14;10
0462000;Powiat m.Grudzi¹dz;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;3;0;2;3;2;1;3
0463000;Powiat m.Toruñ;-;-;-;-;-;-;-;-;-;-;-;-;6;6;5;9;7;12;5;10;3;9
0464000;Powiat m.W³oc³awek;-;-;-;-;-;-;-;-;-;-;-;-;4;7;5;6;0;5;1;5;3;3
0600000;LUBELSKIE;393;411;358;354;336;358;322;341;351;372;318;256;252;243;250;195;188;178;157;179;170;156
0601000;Powiat bialski;-;-;-;-;-;-;-;-;-;-;-;-;16;22;19;21;16;13;17;15;13;14
0602000;Powiat bi³gorajski;-;-;-;-;-;-;-;-;-;-;-;-;15;10;9;6;7;13;4;11;10;6
0603000;Powiat che³mski;-;-;-;-;-;-;-;-;-;-;-;-;14;13;26;7;15;14;12;9;9;5
0604000;Powiat hrubieszowski;-;-;-;-;-;-;-;-;-;-;-;-;6;2;7;7;1;2;3;3;3;3
0605000;Powiat janowski;-;-;-;-;-;-;-;-;-;-;-;-;4;7;11;6;10;5;7;5;4;4
0606000;Powiat krasnostawski;-;-;-;-;-;-;-;-;-;-;-;-;6;14;2;12;4;6;8;6;6;7
0607000;Powiat kraœnicki;-;-;-;-;-;-;-;-;-;-;-;-;11;9;14;7;9;6;12;10;7;14
0608000;Powiat lubartowski;-;-;-;-;-;-;-;-;-;-;-;-;15;12;8;10;12;6;5;8;6;11
0609000;Powiat lubelski;-;-;-;-;-;-;-;-;-;-;-;-;23;22;29;21;18;22;13;18;26;13
0610000;Powiat ³êczyñski;-;-;-;-;-;-;-;-;-;-;-;-;8;7;5;16;9;5;6;6;3;5
0611000;Powiat ³ukowski;-;-;-;-;-;-;-;-;-;-;-;-;15;25;23;9;8;13;11;14;13;14
0612000;Powiat opolski;-;-;-;-;-;-;-;-;-;-;-;-;13;8;3;1;4;9;5;6;3;4
0613000;Powiat parczewski;-;-;-;-;-;-;-;-;-;-;-;-;6;5;5;2;4;4;5;3;6;3
0614000;Powiat pu³awski;-;-;-;-;-;-;-;-;-;-;-;-;22;9;21;9;8;11;7;10;4;9
0615000;Powiat radzyñski;-;-;-;-;-;-;-;-;-;-;-;-;11;9;9;10;9;5;6;13;10;6
0616000;Powiat rycki;-;-;-;-;-;-;-;-;-;-;-;-;12;12;4;5;8;5;7;6;12;5
0617000;Powiat œwidnicki;-;-;-;-;-;-;-;-;-;-;-;-;11;4;5;5;3;7;4;6;6;3
0618000;Powiat tomaszowski;-;-;-;-;-;-;-;-;-;-;-;-;6;10;9;3;10;3;6;7;4;7
0619000;Powiat w³odawski;-;-;-;-;-;-;-;-;-;-;-;-;3;2;9;4;4;3;2;3;2;5
0620000;Powiat zamojski;-;-;-;-;-;-;-;-;-;-;-;-;8;13;13;13;12;12;7;6;14;7
0661000;Powiat m.Bia³a Podlaska;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;2;0;0;1;0
0662000;Powiat m.Che³m;-;-;-;-;-;-;-;-;-;-;-;-;6;1;4;2;1;2;3;0;0;0
0663000;Powiat m.Lublin;-;-;-;-;-;-;-;-;-;-;-;-;18;25;12;16;15;7;6;13;7;10
0664000;Powiat m.Zamoœæ;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;0;3;1;1;1;1
0800000;LUBUSKIE;180;185;145;177;180;168;174;147;155;170;137;108;122;99;94;81;92;113;84;79;92;76
0801000;Powiat gorzowski;-;-;-;-;-;-;-;-;-;-;-;-;13;8;13;8;13;9;10;5;13;8
0802000;Powiat kroœnieñski;-;-;-;-;-;-;-;-;-;-;-;-;13;6;5;3;2;3;8;6;9;5
0803000;Powiat miêdzyrzecki;-;-;-;-;-;-;-;-;-;-;-;-;21;7;8;4;5;13;9;5;11;8
0804000;Powiat nowosolski;-;-;-;-;-;-;-;-;-;-;-;-;10;9;11;5;10;6;5;6;6;4
